MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011BD	1011BD	ELK	KVB	30	93,33	76,67	63	3x25	3577	50	46,67	1,3
	GAS Liander	Kalkmarkt	1011BD	1011BD	GAS	KVB	20	100	95	90	G4	2192	0	65	
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011BE	1011BG	ELK	KVB	26	100	73,08	54	1x35	2245	15,38	7,69	1,3
	GAS Liander	Binnenkant AB	1011BE	1011BG	GAS	KVB	16	100	93,75	88	G4	2070	0	12,5	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BH	1011BH	ELK	KVB	34	100	94,12	50	1x35	3060	41,18	35,29	1,1
	GAS Liander	Binnenkant	1011BH	1011BH	GAS	KVB	29	100	96,55	83	G4	1707	0	37,93	
	Liander N.V. (NW)	Binnenkant	1011BJ	1011BJ	ELK	KVB	22	100	90,91	45	3x25	5624	27,27	13,64	1,8
	GAS Liander	Binnenkant	1011BJ	1011BJ	GAS	KVB	16	100	100	69	G4	3006	0	25	
	Liander N.V. (NW)	Binnenkant	1011BK	1011BK	ELK	KVB	16	100	100	50	1x35	2418	6,25	6,25	1,1
	GAS Liander	Binnenkant	1011BK	1011BK	GAS	KVB	14	100	92,86	86	G4	1515	0	7,14	
	Liander N.V. (NW)	Binnenkant	1011BL	1011BM	ELK	KVB	23	100	95,65	87	1x35	2128	21,74	13,04	1,2
	GAS Liander	Binnenkant	1011BL	1011BM	GAS	KVB	20	100	100	85	G4	1212	0	10	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BN	1011BN	ELK	KVB	21	100	71,43	67	3x25	3066	9,52	9,52	1,3
	GAS Liander	Binnenkant	1011BN	1011BN	GAS	KVB	15	100	86,67	73	G4	1402	0	13,33	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BP	1011BP	ELK	KVB	18	100	88,89	78	3x25	3073	16,67	0	1,8
Liander N.V.	GAS Liander	Binnenkant	1011BP	1011BP	GAS	KVB	15	100	93,33	87	G4	2430	0	0	
	Liander N.V. (NW)	Binnenkant	1011BR	1011BR	ELK	KVB	15	100	100	67	1x35	1694	20	13,33	1,5
	GAS Liander	Binnenkant	1011BR	1011BR	GAS	KVB	11	100	100	100	G4	1554	0	9,09	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BS	1011BS	ELK	KVB	29	100	79,31	62	3x25	2684	51,72	44,83	1,2
Liander N.V.	GAS Liander	Kromme Waal	1011BS	1011BS	GAS	KVB	28	100	75	71	G4	1825	0	46,43	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BT	1011BT	ELK	KVB	31	96,77	93,55	48	3x25	2376	45,16	45,16	1,1
Liander N.V.	GAS Liander	Kromme Waal	1011BT	1011BT	GAS	KVB	27	100	96,3	89	G4	1564	0	44,44	
	Liander N.V. (NW)	Kromme Waal	1011BV	1011BV	ELK	KVB	23	100	65,22	61	3x25	2262	56,52	52,17	1
	GAS Liander	Kromme Waal	1011BV	1011BV	GAS	KVB	21	100	66,67	67	G4	1594	0	57,14	
	Liander N.V. (NW)	Kromme Waal	1011BW	1011BW	ELK	KVB	33	100	96,97	64	1x25	2664	72,73	72,73	1,1
	GAS Liander	Kromme Waal	1011BW	1011BW	GAS	KVB	27	100	100	100	G4	1066	0	74,07	
	Liander N.V. (NW)	Oude Waal	1011BX	1011BX	ELK	KVB	22	100	100	82	1x25	1430	95,45	95,45	1
	GAS Liander	Oude Waal	1011BX	1011BX	GAS	KVB	20	100	100	100	G4	941	0	95	
	GAS Liander	Oude Waal	1011BZ	1011BZ	GAS	KVB	25	100	100	80	G4	1208	0	84	
