POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011JV	1011JV	GAS	100	2041	CENTRUM
1011JW	1011JW	ELK	100	4944	CENTRUM
1011JW	1011JW	GAS	100	1725	CENTRUM
1011JX	1011JX	ELK	100	3258	CENTRUM
1011JX	1011JX	GAS	100	3031	CENTRUM
1011JZ	1011JZ	ELK	100	7249	CENTRUM
1011JZ	1011JZ	GAS	100	2188	CENTRUM
1011KA	1011KA	ELK	100	3765	CENTRUM
1011KA	1011KA	GAS	100	1683	CENTRUM
1011KB	1011KB	GAS	100	3190	CENTRUM
1011KB	1011KB	ELK	100	5907	CENTRUM
1011KC	1011KC	ELK	100	3481	CENTRUM
1011KC	1011KC	GAS	100	1804	CENTRUM
1011KD	1011KD	ELK	100	8478	CENTRUM
1011KD	1011KD	GAS	100	2194	CENTRUM
1011KE	1011KE	ELK	100	9934	CENTRUM
1011KE	1011KH	GAS	100	3652	CENTRUM
1011KH	1011KH	ELK	100	3107	CENTRUM
1011KJ	1011KJ	ELK	97,37	2323	CENTRUM
1011KJ	1011KJ	GAS	100	1175	CENTRUM
1011KK	1011KK	GAS	100	1237	CENTRUM
1011KK	1011KK	ELK	100	3497	CENTRUM
1011KL	1011KM	ELK	100	4381	CENTRUM
1011KL	1011KM	GAS	100	2146	CENTRUM
1011KN	1011KN	GAS	100	1072	CENTRUM
1011KN	1011KN	ELK	95,45	2196	CENTRUM
1011KP	1011KP	GAS	100	1303	CENTRUM
1011KP	1011KP	ELK	100	2758	CENTRUM
1011KR	1011KR	ELK	100	2213	CENTRUM
1011KR	1011KR	GAS	100	1427	CENTRUM
1011KS	1011KS	ELK	100	2770	CENTRUM
1011KS	1011KS	GAS	100	1662	CENTRUM
1011KT	1011KT	ELK	100	2835	CENTRUM
1011KT	1011KT	GAS	100	1906	CENTRUM
1011KV	1011KW	GAS	100	1132	CENTRUM
1011KV	1011KW	ELK	98,91	2540	CENTRUM
1011KX	1011KZ	ELK	100	3641	CENTRUM
1011KX	1011KZ	GAS	100	1807	CENTRUM
1011LA	1011LA	ELK	100	2043	CENTRUM
1011LA	1011LA	GAS	100	1698	CENTRUM
1011LB	1011LB	ELK	100	3359	CENTRUM
1011LB	1011LB	GAS	100	1149	CENTRUM
1011LC	1011LC	GAS	100	1709	CENTRUM
1011LC	1011LC	ELK	100	2732	CENTRUM
