MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
	GAS Liander	Hoekenes	1068MR	1068MS	AMSTERDAM	GAS	KVB	75	100.0	100.0	99	G4	1354	0.0	5.33	
	GAS Liander	Hoekenes	1068MT	1068MT	AMSTERDAM	GAS	KVB	25	100.0	96.0	96	G4	1064	0.0	0.0	
	Liander N.V. (NW)	Hoekenes	1068MT	1068MT	AMSTERDAM	ELK	KVB	30	100.0	86.67	87	1x25	1228	10.0	0.0	1.0
Liander N.V.	GAS Liander	Hoekenes	1068MV	1068MZ	AMSTERDAM	GAS	KVB	31	100.0	96.77	81	G4	2099	0.0	58.06	
Liander N.V.	Liander N.V. (NW)	Hoekenes	1068MV	1068MZ	AMSTERDAM	ELK	KVB	33	81.82	90.91	45	3x25	4295	72.73	57.58	1.3
	Liander N.V. (NW)	Hoekenes	1068NA	1068NA	AMSTERDAM	ELK	KVB	14	78.57	92.86	100	3x25	4661	92.86	85.71	1.0
	GAS Liander	Hoekenes	1068NA	1068NA	AMSTERDAM	GAS	KVB	13	100.0	100.0	62	G6	2983	0.0	92.31	
	GAS Liander	Pieter Calandlaan	1068NB	1068NB	AMSTERDAM	GAS	KVB	20	100.0	100.0	100	G4	1412	0.0	100.0	
	Liander N.V. (NW)	Pieter Calandlaan	1068NB	1068NB	AMSTERDAM	ELK	KVB	27	100.0	92.59	67	1x35	2259	74.07	74.07	
	Liander N.V. (NW)	Pieter Calandlaan	1068NC	1068NC	AMSTERDAM	ELK	KVB	27	92.59	81.48	63	1x35	1596	74.07	70.37	1.0
	GAS Liander	Pieter Calandlaan	1068NC	1068NC	AMSTERDAM	GAS	KVB	20	100.0	100.0	100	G4	1342	0.0	95.0	
	GAS Liander	Pieter Calandlaan	1068ND	1068ND	AMSTERDAM	GAS	KVB	13	100.0	100.0	100	G4	284	0.0	7.69	
	Liander N.V. (NW)	Pieter Calandlaan	1068ND	1068ND	AMSTERDAM	ELK	KVB	17	100.0	100.0	71	1x25	4414	17.65	17.65	1.0
	Liander N.V. (NW)	Pieter Calandlaan	1068NE	1068NE	AMSTERDAM	ELK	KVB	14	100.0	100.0	100	1x25	2512	0.0	0.0	1.1
	GAS Liander	Pieter Calandlaan	1068NE	1068NE	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	188	0.0	7.14	
	Liander N.V. (NW)	Pieter Calandlaan	1068NG	1068NG	AMSTERDAM	ELK	KVB	15	100.0	93.33	93	1x25	2559	0.0	0.0	1.0
	GAS Liander	Pieter Calandlaan	1068NG	1068NG	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	183	0.0	7.14	
	Liander N.V. (NW)	Pieter Calandlaan	1068NH	1068NH	AMSTERDAM	ELK	KVB	18	100.0	94.44	50	3x25	18149	61.11	22.22	1.6
	GAS Liander	Pieter Calandlaan	1068NH	1068NJ	AMSTERDAM	GAS	KVB	22	100.0	95.45	91	G4	1142	0.0	13.64	
	Liander N.V. (NW)	Pieter Calandlaan	1068NJ	1068NJ	AMSTERDAM	ELK	KVB	15	100.0	100.0	87	1x25	3051	13.33	0.0	1.1
	GAS Liander	Pieter Calandlaan	1068NK	1068NK	AMSTERDAM	GAS	KVB	13	100.0	92.31	100	G4	185	0.0	0.0	
	Liander N.V. (NW)	Pieter Calandlaan	1068NK	1068NK	AMSTERDAM	ELK	KVB	15	100.0	100.0	80	1x25	3250	13.33	6.67	1.1
	Liander N.V. (NW)	Pieter Calandlaan	1068NL	1068NL	AMSTERDAM	ELK	KVB	15	100.0	100.0	93	1x25	2635	6.67	0.0	1.1
	GAS Liander	Pieter Calandlaan	1068NL	1068NL	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	191	0.0	7.14	
	GAS Liander	Pieter Calandlaan	1068NM	1068NM	AMSTERDAM	GAS	KVB	18	100.0	100.0	100	G6	1817	0.0	66.67	
Liander N.V.	Liander N.V. (NW)	Pieter Calandlaan	1068NM	1068NM	AMSTERDAM	ELK	KVB	25	96.0	88.0	40	1x35	6606	72.0	72.0	1.0
	Liander N.V. (NW)	Pieter Calandlaan	1068NN	1068NN	AMSTERDAM	ELK	KVB	25	92.0	88.0	32	3x25	2740	68.0	64.0	1.0
	GAS Liander	Pieter Calandlaan	1068NN	1068NN	AMSTERDAM	GAS	KVB	18	100.0	100.0	100	G6	1868	0.0	88.89	
Liander N.V.	GAS Liander	Pieter Calandlaan	1068NP	1068NP	AMSTERDAM	GAS	KVB	13	100.0	69.23	77	G4	2191	0.0	23.08	
Liander N.V.	Liander N.V. (NW)	Pieter Calandlaan	1068NP	1068NP	AMSTERDAM	ELK	KVB	67	100.0	95.52	75	1x35	5497	16.42	5.97	1.1
	GAS Liander	Pieter Calandlaan	1068NR	1068NR	AMSTERDAM	GAS	KVB	10	100.0	90.0	80	G4	1003	0.0	0.0	
	Liander N.V. (NW)	Pieter Calandlaan	1068NR	1068NR	AMSTERDAM	ELK	KVB	13	100.0	100.0	38	1x25	7713	30.77	0.0	1.4
Liander N.V.	Liander N.V. (NW)	Pieter Calandlaan	1068NT	1068NV	AMSTERDAM	ELK	KVB	18	100.0	88.89	67	1x35	6375	100.0	88.89	
Liander N.V.	GAS Liander	Pieter Calandlaan	1068NT	1068NV	AMSTERDAM	GAS	KVB	16	100.0	87.5	88	G4	1837	0.0	87.5	
	GAS Liander	Piet Wiedijkstraat	1068NW	1068NW	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1296	0.0	90.91	
Liander N.V.	Liander N.V. (NW)	Piet Wiedijkstraat	1068NW	1068NW	AMSTERDAM	ELK	KVB	29	100.0	93.1	72	1x35	2087	82.76	82.76	1.0
	GAS Liander	Louis Raemaekersstraat	1068NX	1068NX	AMSTERDAM	GAS	KVB	16	100.0	93.75	100	G4	897	0.0	93.75	
	Liander N.V. (NW)	Louis Raemaekersstraat	1068NX	1068NX	AMSTERDAM	ELK	KVB	20	100.0	95.0	95	1x35	828	90.0	90.0	1.0
	GAS Liander	Louis Raemaekersstraat	1068NZ	1068NZ	AMSTERDAM	GAS	KVB	16	100.0	100.0	81	G4	979	0.0	100.0	
	Liander N.V. (NW)	Louis Raemaekersstraat	1068NZ	1068NZ	AMSTERDAM	ELK	KVB	18	100.0	100.0	100	1x35	1162	100.0	100.0	
	GAS Liander	Jan Ligthartstraat	1068PA	1068PA	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1388	0.0	86.36	
	Liander N.V. (NW)	Jan Ligthartstraat	1068PA	1068PA	AMSTERDAM	ELK	KVB	33	100.0	96.97	67	1x35	2158	75.76	87.88	1.0
	GAS Liander	Jan Ligthartstraat	1068PB	1068PB	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1178	0.0	72.73	
	Liander N.V. (NW)	Jan Ligthartstraat	1068PB	1068PB	AMSTERDAM	ELK	KVB	22	95.45	100.0	82	1x35	2192	72.73	72.73	1.0
	Liander N.V. (NW)	Maria Montessoristraat	1068PC	1068PC	AMSTERDAM	ELK	KVB	24	87.5	95.83	54	3x25	3311	95.83	95.83	
	GAS Liander	Maria Montessoristraat	1068PC	1068PC	AMSTERDAM	GAS	KVB	23	100.0	100.0	100	G4	1477	0.0	100.0	
	Liander N.V. (NW)	Maria Montessoristraat	1068PD	1068PD	AMSTERDAM	ELK	KVB	22	100.0	100.0	95	1x35	2759	100.0	100.0	
	GAS Liander	Maria Montessoristraat	1068PD	1068PD	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1308	0.0	100.0	
	GAS Liander	M Jan Langeveldstr	1068PE	1068PE	AMSTERDAM	GAS	KVB	17	100.0	100.0	100	G4	1417	0.0	100.0	
	Liander N.V. (NW)	M Jan Langeveldstr	1068PE	1068PE	AMSTERDAM	ELK	KVB	20	75.0	95.0	100	3x25	4630	90.0	90.0	2.0
	GAS Liander	Oeverpad	1068PH	1068PH	AMSTERDAM	GAS	KVB	54	100.0	100.0	100	G4	741	0.0	3.7	
	Liander N.V. (NW)	Oeverpad	1068PH	1068PH	AMSTERDAM	ELK	KVB	55	100.0	100.0	93	1x35	4069	5.45	3.64	1.0
	GAS Liander	Oeverpad	1068PJ	1068PJ	AMSTERDAM	GAS	KVB	76	100.0	98.68	99	G4	1180	0.0	0.0	
	Liander N.V. (NW)	Oeverpad	1068PJ	1068PJ	AMSTERDAM	ELK	KVB	78	100.0	96.15	96	1x35	2534	1.28	0.0	1.0
	Liander N.V. (NW)	Oeverpad	1068PK	1068PK	AMSTERDAM	ELK	KVB	35	100.0	100.0	97	1x35	2500	2.86	0.0	1.0
	GAS Liander	Oeverpad	1068PK	1068PK	AMSTERDAM	GAS	KVB	34	100.0	100.0	100	G4	817	0.0	0.0	
	GAS Liander	Oeverpad	1068PL	1068PL	AMSTERDAM	GAS	KVB	39	100.0	100.0	100	G4	869	0.0	2.56	
Liander N.V.	Liander N.V. (NW)	Oeverpad	1068PL	1068PL	AMSTERDAM	ELK	KVB	42	100.0	97.62	93	1x35	2969	7.14	4.76	1.0
	GAS Liander	Oeverpad	1068PM	1068PM	AMSTERDAM	GAS	KVB	169	100.0	99.41	99	G4	797	0.0	4.14	
	Liander N.V. (NW)	Oeverpad	1068PM	1068PM	AMSTERDAM	ELK	KVB	173	100.0	100.0	95	1x35	3710	7.51	4.62	1.0
	Liander N.V. (NW)	Vrijburg	1068PN	1068PN	AMSTERDAM	ELK	KVB	28	100.0	100.0	96	1x25	2467	3.57	0.0	1.0
	GAS Liander	Vrijburg	1068PN	1068PN	AMSTERDAM	GAS	KVB	26	100.0	100.0	100	G4	841	0.0	0.0	
	GAS Liander	Vrijburg	1068PP	1068PP	AMSTERDAM	GAS	KVB	15	100.0	100.0	100	G4	1129	0.0	6.67	
	Liander N.V. (NW)	Vrijburg	1068PP	1068PP	AMSTERDAM	ELK	KVB	17	100.0	100.0	94	1x25	2369	5.88	5.88	1.0
	Liander N.V. (NW)	Vrijburg	1068PR	1068RA	AMSTERDAM	ELK	KVB	17	100.0	94.12	88	1x25	7497	5.88	0.0	1.1
	GAS Liander	Vrijburg	1068PR	1068RA	AMSTERDAM	GAS	KVB	15	100.0	100.0	93	G4	1368	0.0	0.0	
	GAS Liander	Barbara van Meertenstr	1068RB	1068RB	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	1520	0.0	14.29	
	Liander N.V. (NW)	Barbara van Meertenstr	1068RB	1068RB	AMSTERDAM	ELK	KVB	15	86.67	93.33	67	1x35	3939	13.33	13.33	1.1
	GAS Liander	Inzet	1068RC	1068RC	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	964	0.0	0.0	
	Liander N.V. (NW)	Inzet	1068RC	1068RC	AMSTERDAM	ELK	KVB	22	100.0	100.0	95	1x25	2023	0.0	0.0	1.0
	Liander N.V. (NW)	Inzet	1068RD	1068RD	AMSTERDAM	ELK	KVB	22	100.0	100.0	95	1x25	1718	0.0	0.0	1.0
	GAS Liander	Inzet	1068RD	1068RD	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	886	0.0	0.0	
	GAS Liander	Volharding	1068RE	1068RE	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	739	0.0	0.0	
	Liander N.V. (NW)	Volharding	1068RE	1068RE	AMSTERDAM	ELK	KVB	25	100.0	100.0	96	1x25	1780	4.0	4.0	1.0
	GAS Liander	Volharding	1068RG	1068RG	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	768	0.0	0.0	
	Liander N.V. (NW)	Volharding	1068RG	1068RG	AMSTERDAM	ELK	KVB	22	100.0	100.0	100	1x25	1787	0.0	0.0	1.0
	GAS Liander	Geduld	1068RH	1068RH	AMSTERDAM	GAS	KVB	31	100.0	100.0	100	G4	672	0.0	90.32	
	Liander N.V. (NW)	Geduld	1068RH	1068RH	AMSTERDAM	ELK	KVB	32	100.0	100.0	91	1x35	1635	90.63	90.63	1.0
	GAS Liander	Geduld	1068RJ	1068RJ	AMSTERDAM	GAS	KVB	25	100.0	100.0	100	G4	774	0.0	60.0	
	Liander N.V. (NW)	Geduld	1068RJ	1068RJ	AMSTERDAM	ELK	KVB	26	100.0	100.0	62	1x35	2017	61.54	61.54	1.4
	GAS Liander	Overleg	1068RK	1068RK	AMSTERDAM	GAS	KVB	42	100.0	100.0	100	G4	766	0.0	7.14	
	Liander N.V. (NW)	Overleg	1068RK	1068RK	AMSTERDAM	ELK	KVB	45	100.0	97.78	87	1x25	1620	8.89	8.89	1.0
	GAS Liander	Overleg	1068RL	1068RL	AMSTERDAM	GAS	KVB	43	100.0	100.0	100	G4	736	0.0	23.26	
	Liander N.V. (NW)	Overleg	1068RL	1068RL	AMSTERDAM	ELK	KVB	45	100.0	100.0	84	1x25	1800	22.22	22.22	1.0
	GAS Liander	Overleg	1068RM	1068RM	AMSTERDAM	GAS	KVB	43	100.0	100.0	98	G4	944	0.0	4.65	
	Liander N.V. (NW)	Overleg	1068RM	1068RM	AMSTERDAM	ELK	KVB	45	100.0	100.0	91	1x25	2280	4.44	4.44	1.0
	GAS Liander	Samenwerking	1068RN	1068RN	AMSTERDAM	GAS	KVB	35	100.0	100.0	100	G4	1125	0.0	0.0	
	Liander N.V. (NW)	Samenwerking	1068RN	1068RN	AMSTERDAM	ELK	KVB	35	100.0	100.0	86	1x25	2520	0.0	0.0	1.0
	GAS Liander	Samenwerking	1068RP	1068RP	AMSTERDAM	GAS	KVB	34	100.0	100.0	100	G4	994	0.0	2.94	
	Liander N.V. (NW)	Samenwerking	1068RP	1068RP	AMSTERDAM	ELK	KVB	34	100.0	100.0	94	1x25	2313	2.94	2.94	1.0
	Liander N.V. (NW)	Eliza van Calcarstraat	1068RR	1068RR	AMSTERDAM	ELK	KVB	14	100.0	100.0	86	1x35	4120	0.0	0.0	1.0
	GAS Liander	Eliza van Calcarstraat	1068RR	1068RR	AMSTERDAM	GAS	KVB	14	100.0	100.0	100	G4	1441	0.0	0.0	
	Liander N.V. (NW)	W Bladergroenstr	1068RS	1068RS	AMSTERDAM	ELK	KVB	22	100.0	100.0	100	1x35	1498	86.36	86.36	2.0
	GAS Liander	W Bladergroenstr	1068RS	1068RS	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	709	0.0	85.71	
	GAS Liander	Dwaze Moeders Plein	1068RT	1068RV	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	871	0.0	96.3	
	Liander N.V. (NW)	Dwaze Moeders Plein	1068RT	1068RV	AMSTERDAM	ELK	KVB	29	100.0	96.55	76	1x25	2038	93.1	93.1	1.0
	GAS Liander	Opmerkzaam	1068RW	1068RW	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	819	0.0	70.83	
	Liander N.V. (NW)	Opmerkzaam	1068RW	1068RW	AMSTERDAM	ELK	KVB	26	100.0	100.0	77	1x25	2057	65.38	65.38	1.0
	Liander N.V. (NW)	Opmerkzaam	1068RX	1068RX	AMSTERDAM	ELK	KVB	24	100.0	100.0	63	1x25	1817	62.5	62.5	1.0
	GAS Liander	Opmerkzaam	1068RX	1068RX	AMSTERDAM	GAS	KVB	23	100.0	100.0	100	G4	625	0.0	60.87	
	GAS Liander	Opmerkzaam	1068RZ	1068RZ	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	814	0.0	0.0	
	Liander N.V. (NW)	Opmerkzaam	1068RZ	1068RZ	AMSTERDAM	ELK	KVB	22	100.0	100.0	82	1x25	1708	4.55	4.55	1.0
	GAS Liander	Verdraagzaam	1068SB	1068SB	AMSTERDAM	GAS	KVB	37	100.0	100.0	100	G4	988	0.0	0.0	
	Liander N.V. (NW)	Verdraagzaam	1068SB	1068SB	AMSTERDAM	ELK	KVB	38	100.0	100.0	95	1x25	1940	2.63	2.63	1.0
	Liander N.V. (NW)	Zorgzaam	1068SC	1068SC	AMSTERDAM	ELK	KVB	26	100.0	100.0	96	1x25	1231	7.69	3.85	1.0
	GAS Liander	Zorgzaam	1068SC	1068SC	AMSTERDAM	GAS	KVB	25	100.0	100.0	100	G4	673	0.0	0.0	
	Liander N.V. (NW)	Fien de la Mar Straat	1068SE	1068SE	AMSTERDAM	ELK	KVB	19	100.0	100.0	95	1x25	1583	94.74	94.74	1.0
	GAS Liander	Fien de la Mar Straat	1068SE	1068SE	AMSTERDAM	GAS	KVB	18	100.0	100.0	100	G4	841	0.0	94.44	
	Liander N.V. (NW)	Fien de la Mar Straat	1068SG	1068SG	AMSTERDAM	ELK	KVB	19	100.0	100.0	53	1x25	2486	100.0	100.0	
	GAS Liander	Fien de la Mar Straat	1068SG	1068SG	AMSTERDAM	GAS	KVB	19	100.0	100.0	100	G4	1070	0.0	100.0	
	GAS Liander	Louis Davidsstraat	1068SH	1068SH	AMSTERDAM	GAS	KVB	33	100.0	100.0	100	G4	694	0.0	100.0	
	Liander N.V. (NW)	Louis Davidsstraat	1068SH	1068SH	AMSTERDAM	ELK	KVB	35	100.0	100.0	89	1x25	1313	100.0	100.0	
Liander N.V.	Liander N.V. (NW)	Louis Davidsstraat	1068SJ	1068SJ	AMSTERDAM	ELK	KVB	42	100.0	90.48	71	1x25	3139	90.48	88.1	
	GAS Liander	Louis Davidsstraat	1068SJ	1068SJ	AMSTERDAM	GAS	KVB	36	100.0	100.0	94	G4	1117	0.0	97.22	
	GAS Liander	Prof. R. Casimirstraat	1068SK	1068SK	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	708	0.0	88.89	
	Liander N.V. (NW)	Prof. R. Casimirstraat	1068SK	1068SK	AMSTERDAM	ELK	KVB	28	100.0	100.0	89	1x25	1630	96.43	89.29	1.7
	Liander N.V. (NW)	Wildeman	1068SL	1068SL	AMSTERDAM	ELK	KVB	34	100.0	100.0	82	1x35	3087	5.88	2.94	1.0
	GAS Liander	Wildeman	1068SL	1068SL	AMSTERDAM	GAS	KVB	33	100.0	100.0	100	G4	955	0.0	3.03	
	GAS Liander	Veldzicht	1068SM	1068SM	AMSTERDAM	GAS	KVB	33	100.0	100.0	100	G4	937	0.0	0.0	
	Liander N.V. (NW)	Veldzicht	1068SM	1068SM	AMSTERDAM	ELK	KVB	34	100.0	100.0	76	1x35	2923	2.94	0.0	1.0
Liander N.V.	Liander N.V. (NW)	Pieter Calandplantsoen	1068SN	1068SN	AMSTERDAM	ELK	KVB	32	100.0	96.88	84	1x25	2645	100.0	90.63	2.0
	GAS Liander	Pieter Calandplantsoen	1068SN	1068SN	AMSTERDAM	GAS	KVB	30	100.0	100.0	100	G4	836	0.0	93.33	
	Liander N.V. (NW)	Osdorpplein	1068SP	1068SP	AMSTERDAM	ELK	KVB	18	100.0	88.89	67	1x35	8539	33.33	16.67	1.1
	GAS Liander	Osdorpplein	1068SP	1068SP	AMSTERDAM	GAS	KVB	16	100.0	93.75	88	G4	1658	0.0	12.5	
	Liander N.V. (NW)	Osdorpplein	1068SR	1068SR	AMSTERDAM	ELK	KVB	14	100.0	100.0	71	1x35	7277	21.43	7.14	1.2
	GAS Liander	Osdorpplein	1068SR	1068SR	AMSTERDAM	GAS	KVB	11	100.0	100.0	100	G4	909	0.0	9.09	
	Liander N.V. (NW)	Osdorpplein	1068ST	1068ST	AMSTERDAM	ELK	KVB	19	100.0	100.0	100	1x35	2771	5.26	5.26	1.0
	GAS Liander	Osdorpplein	1068ST	1068ST	AMSTERDAM	GAS	KVB	19	100.0	100.0	100	G4	718	0.0	5.26	
	GAS Liander	Osdorpplein	1068SV	1068SW	AMSTERDAM	GAS	KVB	15	100.0	100.0	100	G4	1095	0.0	0.0	
	Liander N.V. (NW)	Osdorpplein	1068SV	1068SW	AMSTERDAM	ELK	KVB	17	100.0	94.12	88	1x35	2979	11.76	0.0	1.1
	GAS Liander	Osdorpplein	1068SX	1068SX	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	989	0.0	0.0	
	Liander N.V. (NW)	Osdorpplein	1068SX	1068SX	AMSTERDAM	ELK	KVB	17	100.0	94.12	94	1x35	2076	5.88	0.0	1.0
	GAS Liander	Osdorpplein	1068SZ	1068SZ	AMSTERDAM	GAS	KVB	35	100.0	100.0	97	G4	1019	0.0	5.71	
	Liander N.V. (NW)	Osdorpplein	1068SZ	1068SZ	AMSTERDAM	ELK	KVB	38	100.0	94.74	92	1x35	3635	7.89	5.26	1.0
	GAS Liander	Osdorpplein	1068TA	1068TB	AMSTERDAM	GAS	KVB	69	100.0	97.1	97	G4	363	0.0	2.9	
	Liander N.V. (NW)	Osdorpplein	1068TA	1068TB	AMSTERDAM	ELK	KVB	94	100.0	93.62	64	1x25	8389	23.4	4.26	1.2
	GAS Liander	Osdorpplein	1068TC	1068TC	AMSTERDAM	GAS	KVB	54	100.0	85.19	93	G4	1485	0.0	9.26	
	Liander N.V. (NW)	Osdorpplein	1068TC	1068TC	AMSTERDAM	ELK	KVB	97	100.0	78.35	44	3x25	8071	55.67	7.22	1.6
	GAS Liander	Osdorpplein	1068TD	1068TD	AMSTERDAM	GAS	KVB	64	100.0	100.0	89	G4	776	0.0	1.56	
Liander N.V.	Liander N.V. (NW)	Osdorpplein	1068TD	1068TD	AMSTERDAM	ELK	KVB	79	100.0	96.2	73	1x25	6261	20.25	1.27	1.2
	Liander N.V. (NW)	Osdorpplein	1068TG	1068VM	AMSTERDAM	ELK	KVB	138	100.0	98.55	91	1x35	3302	5.8	3.62	1.0
	GAS Liander	President Allendelaan	1068VM	1068VM	AMSTERDAM	GAS	KVB	130	100.0	100.0	100	G4	929	0.0	3.85	
	Liander N.V. (NW)	President Allendelaan	1068VN	1068VN	AMSTERDAM	ELK	KVB	154	100.0	100.0	96	1x35	4070	4.55	4.55	1.0
	GAS Liander	President Allendelaan	1068VN	1068VN	AMSTERDAM	GAS	KVB	151	100.0	100.0	99	G4	919	0.0	3.31	
	Liander N.V. (NW)	Joannes de Swaefhof	1068VP	1068VP	AMSTERDAM	ELK	KVB	21	100.0	100.0	100	1x35	2834	100.0	100.0	
	GAS Liander	Joannes de Swaefhof	1068VP	1068VP	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	1478	0.0	100.0	
	GAS Liander	Pieter Oosterleehof	1068VR	1068VR	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	1294	0.0	95.24	
	Liander N.V. (NW)	Pieter Oosterleehof	1068VR	1068VR	AMSTERDAM	ELK	KVB	21	95.24	100.0	86	1x35	2502	95.24	95.24	1.0
	GAS Liander	Salzmannhof	1068VS	1068VS	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	1316	0.0	95.24	
	Liander N.V. (NW)	Salzmannhof	1068VS	1068VS	AMSTERDAM	ELK	KVB	21	90.48	100.0	81	1x35	2514	95.24	95.24	1.0
	Liander N.V. (NW)	Willem Bartjenshof	1068VT	1068VT	AMSTERDAM	ELK	KVB	22	100.0	100.0	86	1x35	2389	90.91	90.91	1.0
	GAS Liander	Willem Bartjenshof	1068VT	1068VT	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	1335	0.0	90.48	
	GAS Liander	Prof Ph Kohnstammstraat	1068VV	1068VV	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1281	0.0	90.91	
Liander N.V.	Liander N.V. (NW)	Prof. Ph.Kohnstammstraat	1068VV	1068VV	AMSTERDAM	ELK	KVB	33	96.97	84.85	76	1x35	1506	69.7	69.7	1.0
	Liander N.V. (NW)	Pisuissehof	1068VW	1068VW	AMSTERDAM	ELK	KVB	25	100.0	100.0	64	1x35	2108	88.0	92.0	1.0
	GAS Liander	Pisuissehof	1068VW	1068VW	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	1369	0.0	91.67	
	GAS Liander	Eduard Jacobshof	1068VX	1068VX	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	1497	0.0	100.0	
	Liander N.V. (NW)	Eduard Jacobshof	1068VX	1068VX	AMSTERDAM	ELK	KVB	24	95.83	100.0	67	1x35	2398	100.0	100.0	
	GAS Liander	Bamberghof	1068VZ	1068VZ	AMSTERDAM	GAS	KVB	22	100.0	100.0	95	G4	1249	0.0	81.82	
	Liander N.V. (NW)	Bamberghof	1068VZ	1068VZ	AMSTERDAM	ELK	KVB	22	95.45	100.0	77	1x35	2009	81.82	81.82	1.3
	Liander N.V. (NW)	Boas en Judelshof	1068WB	1068WB	AMSTERDAM	ELK	KVB	22	100.0	100.0	91	1x35	2586	86.36	86.36	1.0
	GAS Liander	Boas en Judelshof	1068WB	1068WB	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1439	0.0	86.36	
	GAS Liander	Hegeraatstraat	1068WC	1068WC	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1460	0.0	77.27	
	Liander N.V. (NW)	Hegeraatstraat	1068WC	1068WC	AMSTERDAM	ELK	KVB	27	100.0	96.3	63	1x35	2047	66.67	70.37	1.0
	GAS Liander	Fred. Thomasstraat	1068WD	1068WD	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1317	0.0	100.0	
	Liander N.V. (NW)	Fred. Thomasstraat	1068WD	1068WD	AMSTERDAM	ELK	KVB	27	100.0	100.0	70	1x35	2093	92.59	92.59	1.0
	GAS Liander	Stoel en Spreehof	1068WE	1068WE	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	1197	0.0	100.0	
	Liander N.V. (NW)	Stoel en Spreehof	1068WE	1068WE	AMSTERDAM	ELK	KVB	24	87.5	100.0	100	1x35	2086	100.0	100.0	
	GAS Liander	Dirk Wittehof	1068WG	1068WG	AMSTERDAM	GAS	KVB	24	100.0	100.0	100	G4	1263	0.0	100.0	
	Liander N.V. (NW)	Dirk Wittehof	1068WG	1068WG	AMSTERDAM	ELK	KVB	24	100.0	100.0	96	1x35	2502	100.0	100.0	
	GAS Liander	Colnot en Poonshof	1068WH	1068WH	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1292	0.0	100.0	
Liander N.V.	Liander N.V. (NW)	Colnot en Poonshof	1068WH	1068WH	AMSTERDAM	ELK	KVB	23	100.0	95.65	91	1x35	2127	95.65	95.65	
	Liander N.V. (NW)	Manna de Wijs-Moutonhof	1068WJ	1068WJ	AMSTERDAM	ELK	KVB	22	95.45	100.0	95	1x35	2557	100.0	100.0	
	GAS Liander	Manna de Wijs-Moutonhof	1068WJ	1068WJ	AMSTERDAM	GAS	KVB	22	100.0	100.0	100	G4	1282	0.0	100.0	
	GAS Liander	David Kouwenaarstraat	1068WK	1068WK	AMSTERDAM	GAS	KVB	23	100.0	95.65	100	G4	1264	0.0	95.65	
Liander N.V.	Liander N.V. (NW)	David Kouwenaarstraat	1068WK	1068WK	AMSTERDAM	ELK	KVB	26	96.15	92.31	81	1x35	1886	84.62	84.62	1.0
	Liander N.V. (NW)	Nicolaas Anslijnstraat	1068WL	1068WL	AMSTERDAM	ELK	KVB	28	100.0	100.0	68	1x25	3451	10.71	3.57	1.1
	GAS Liander	Nicolaas Anslijnstraat	1068WL	1068WL	AMSTERDAM	GAS	KVB	13	100.0	92.31	100	G4	159	0.0	0.0	
	GAS Liander	Nicolaas Anslijnstraat	1068WN	1068WN	AMSTERDAM	GAS	KVB	17	100.0	94.12	100	G4	77	0.0	5.88	
	Liander N.V. (NW)	Nicolaas Anslijnstraat	1068WN	1068WN	AMSTERDAM	ELK	KVB	17	100.0	100.0	82	1x25	2823	5.88	5.88	1.0
