MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
	Liander N.V. (NW)	Montelbaanstraat	1011	1011	ELK	KVB	22	100	95,45	82	1x25	1794	0	0	1	CENTRUM
	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	39	100	94,87	74	1x25	3391	28,21	28,21	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	34	100	97,06	91	G4	1325	0	26,47		CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	34	100	100	94	G4	1511	0	2,94		CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	23	100	91,3	87	G4	2793	0	4,35		CENTRUM
Liander N.V.	GAS Liander	Geldersekade	1011	1011	GAS	KVB	37	100	89,19	89	G4	1270	0	10,81		CENTRUM
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	47	100	87,23	49	1x25	4921	19,15	10,64	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	15	100	93,33	80	G4	2618	0	0		CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	25	100	100	92	G4	2751	0	4		CENTRUM
	Liander N.V. (NW)	Waalsteeg	1011	1011	ELK	KVB	10	100	100	40	1x25	2687	50	50	1	CENTRUM
	GAS Liander	Waalsteeg	1011	1011	GAS	KVB	10	100	100	100	G4	1567	0	50		CENTRUM
	GAS Liander	Koningsstraat	1011	1011	GAS	KVB	38	100	100	97	G4	1498	0	7,89		CENTRUM
	Liander N.V. (NW)	Koningsstraat	1011	1011	ELK	KVB	42	100	100	60	1x25	4560	23,81	11,9	1,1	CENTRUM
	Liander N.V. (NW)	Koningsstraat	1011	1011	ELK	KVB	47	100	100	45	1x35	3654	31,91	29,79	1	CENTRUM
	GAS Liander	Koningsstraat	1011	1011	GAS	KVB	44	100	97,73	98	G4	1271	0	27,27		CENTRUM
	GAS Liander	Korte Koningsstraat	1011	1011	GAS	KVB	25	100	100	96	G4	1226	0	16		CENTRUM
	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	27	100	100	63	1x25	4416	25,93	22,22	1,2	CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	13	100	69,23	46	3x25	1850	7,69	7,69	1	CENTRUM
	GAS Liander	Korte Koningsstraat	1011	1011	GAS	KVB	31	100	96,77	97	G4	1090	0	38,71		CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	28	100	92,86	61	1x25	2294	64,29	53,57	1,4	CENTRUM
	GAS Liander	Korte Koningsdwarsstraat	1011	1011	GAS	KVB	60	100	98,33	97	G4	1186	0	81,67		CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsdwarsstraat	1011	1011	ELK	KVB	21	100	76,19	38	1x25	1827	71,43	71,43	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Keizersstraat	1011	1011	ELK	KVB	52	96,15	96,15	65	1x35	2405	84,62	80,77	1,3	CENTRUM
	Liander N.V. (NW)	Korte Keizersstraat	1011	1011	ELK	KVB	22	100	100	77	1x35	1455	68,18	68,18	1	CENTRUM
	GAS Liander	Korte Keizersstraat	1011	1011	GAS	KVB	19	100	100	100	G4	1231	0	63,16		CENTRUM
	Liander N.V. (NW)	Korte Keizersstraat	1011	1011	ELK	KVB	24	100	100	88	1x25	1489	79,17	75	1,2	CENTRUM
	GAS Liander	Korte Keizersstraat	1011	1011	GAS	KVB	20	100	100	90	G4	1152	0	75		CENTRUM
	Liander N.V. (NW)	Korte Keizersdwarsstraat	1011	1011	ELK	KVB	18	100	100	83	1x25	2327	83,33	83,33	1	CENTRUM
	GAS Liander	Korte Keizersdwarsstraat	1011	1011	GAS	KVB	16	100	100	100	G4	1279	0	81,25		CENTRUM
	GAS Liander	Kleersloot	1011	1011	GAS	KVB	79	100	100	99	G4	776	0	69,62		CENTRUM
	Liander N.V. (NW)	Kleersloot	1011	1011	ELK	KVB	92	100	96,74	78	1x25	1722	67,39	67,39	1	CENTRUM
	GAS Liander	Korte Dijkstraat	1011	1011	GAS	KVB	18	100	100	100	G4	1359	0	88,89		CENTRUM
	Liander N.V. (NW)	Korte Dijkstraat	1011	1011	ELK	KVB	21	100	95,24	62	1x25	2182	85,71	85,71	1	CENTRUM
	Liander N.V. (NW)	Brandewijnsteeg	1011	1011	ELK	KVB	26	100	96,15	96	1x25	1734	65,38	65,38	1	CENTRUM
	GAS Liander	Brandewijnsteeg	1011	1011	GAS	KVB	26	100	96,15	96	G4	1518	0	65,38		CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	37	100	100	100	G4	1090	0	64,86		CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	14	100	92,86	79	1x25	4369	71,43	57,14	1,8	CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	33	100	93,94	70	1x25	1575	63,64	63,64	1	CENTRUM
Liander N.V.	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	36	100	94,44	89	G4	1471	0	58,33		CENTRUM
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	42	97,62	95,24	40	1x25	4082	66,67	61,9	1	CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	10	100	90	90	G4	1043	0	80		CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	13	100	92,31	77	1x25	1675	84,62	84,62	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	20	100	80	45	1x25	1885	55	50	1,2	CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	15	100	86,67	87	G4	1364	0	60		CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	10	100	80	60	G4	3608	0	60		CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	13	100	100	92	G4	1124	0	100		CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	17	100	100	100	1x25	1174	94,12	94,12	1	CENTRUM
	GAS Liander	Snoekjesgracht	1011	1011	GAS	KVB	34	100	100	100	G4	871	0	88,24		CENTRUM
	Liander N.V. (NW)	Snoekjesgracht	1011	1011	ELK	KVB	37	100	97,3	97	1x25	1512	86,49	86,49	2	CENTRUM
	GAS Liander	Snoekjessteeg	1011	1011	GAS	KVB	206	100	99,03	98	G4	1137	0	16,99		CENTRUM
